"A person wants to start saving money so that they can afford a nice vacation at the end of the year. After looking over their budget and expenses, they decide the best way to save money is toA. make more phone calls
B. quit eating lunch out
C. buy less with monopoly money
D. have lunch with friends
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",B,"

Answer: B
Confidence: 83%

Answer: B
Confidence: 83%

Answer: C
Confidence: 59%

Answer: D
Conf",B,83,83,"{'': 99.99884366989136, 'An': 99.98756647109985, 'swer': 99.99997615814209, ':': 99.99943971633911, 'B': 83.11326503753662, 'Conf': 99.9974250793457, 'idence': 99.99887943267822, '8': 39.030298590660095, '3': 79.95344996452332, '%': 99.9994158744812, 'C': 40.805843472480774, '5': 14.21099603176117, '9': 11.106923222541809, 'D': 99.21032786369324}"
"There is most likely going to be fog around:A. a marsh
B. a tundra
C. the plains
D. a desert
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",A,"

Answer: A
Confidence: 83%

Answer: A
Confidence: 83%

The marsh is the only option that is not a desert.
A. The marsh has",A,83,96,"{'': 89.99326825141907, 'An': 78.22733521461487, 'swer': 99.63958859443665, ':': 99.99996423721313, 'A': 95.8247184753418, 'Conf': 99.98171925544739, 'idence': 99.99914169311523, '8': 36.38002276420593, '3': 77.26209759712219, '%': 99.99783039093018, 'The': 16.746114194393158, 'mar': 66.66681170463562, 'sh': 99.99910593032837, 'is': 36.72463595867157, 'the': 70.64064741134644, 'only': 67.49138832092285, 'option': 68.7721848487854, 'that': 34.976741671562195, 'not': 36.314377188682556, 'a': 90.88833332061768, 'desert': 79.76117730140686, '.': 98.9026129245758, 'has': 39.02164101600647}"
"Predators eatA. lions
B. humans
C. bunnies
D. grass
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",C,"

Answer: A
Confidence: 83%

Answer: A
Confidence: 83%

This question refers to the following information.
""The fittest will survive.""
—Charles",A,83,68,"{'': 95.88689804077148, 'An': 58.78128409385681, 'swer': 99.43358302116394, ':': 99.99984502792358, 'A': 67.93684363365173, 'Conf': 99.93565678596497, 'idence': 99.99891519546509, '8': 31.82128071784973, '3': 72.61770963668823, '%': 99.99575614929199, 'This': 11.252294480800629, 'question': 90.00847339630127, 'refers': 99.47695136070251, 'to': 99.99221563339233, 'the': 99.94432330131531, 'following': 99.96232986450195, 'information': 99.98315572738647, '.': 99.97001886367798, '""': 28.578531742095947, 'The': 16.07629656791687, 'f': 5.420562252402306, 'ittest': 40.04892706871033, 'will': 31.051430106163025, 'survive': 80.63371777534485, '.""': 29.215210676193237, '—': 75.29131770133972, 'Char': 91.39764308929443, 'les': 99.99685287475586}"
"Oak tree seeds are planted and a sidewalk is paved right next to that spot, until eventually, the tree is tall and the roots must extend past the sidewalk, which meansA. roots may be split
B. roots may begin to die
C. parts may break the concrete
D. roots may fall apart
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",C,"

Answer: C
Confidence: 83%

Answer: C
Confidence: 83%

The roots of the tree will eventually break the concrete sidewalk.
A. Because the roots will grow",C,83,77,"{'': 87.96983361244202, 'An': 74.57039952278137, 'swer': 98.27049374580383, ':': 99.99992847442627, 'C': 77.32389569282532, 'Conf': 99.9573290348053, 'idence': 99.99865293502808, '8': 37.88157105445862, '3': 75.25454759597778, '%': 99.997878074646, 'The': 13.911651074886322, 'roots': 56.50785565376282, 'of': 39.27781283855438, 'the': 78.9781928062439, 'tree': 76.85346603393555, 'will': 59.941816329956055, 'eventually': 45.60822546482086, 'break': 25.192174315452576, 'concrete': 79.50602769851685, 'sidewalk': 29.084688425064087, '.': 99.99946355819702, 'A': 60.15043258666992, 'Because': 17.405179142951965, 'grow': 14.338548481464386}"
"An electric car runs on electricity viaA. gasoline
B. a power station
C. electrical conductors
D. fuel
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",C,"

Answer: B
Confidence: 83%

Answer: B
Confidence: 83%

What is the term for a car that runs on electricity?
A. gasoline
B.",B,83,100,"{'': 55.755871534347534, 'An': 53.033238649368286, 'swer': 99.85018968582153, ':': 99.99984502792358, 'B': 99.99969005584717, 'Conf': 99.92095232009888, 'idence': 99.99873638153076, '8': 43.2394802570343, '3': 82.03562498092651, '%': 99.99852180480957, 'What': 13.021887838840485, 'is': 50.30587911605835, 'the': 76.5558660030365, 'term': 37.297073006629944, 'for': 98.03388118743896, 'a': 44.61244344711304, 'car': 22.544564306735992, 'that': 87.35737204551697, 'runs': 56.75785541534424, 'on': 55.451107025146484, 'electricity': 52.35708951950073, '?': 53.52120399475098, 'A': 99.9980092048645, '.': 99.99996423721313, 'gas': 27.298200130462646, 'oline': 80.13978600502014}"
"As the rain forest is deforested the atmosphere will increase withA. oxygen
B. nitrogen
C. carbon
D. rain
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",C,"

Answer: C
Confidence: 83%

Answer: C
Confidence: 83%

The rain forest is being destroyed at an alarming rate . The most effective way to combat this is",C,83,83,"{'': 99.1884708404541, 'An': 71.47238254547119, 'swer': 99.29777979850769, ':': 99.9997615814209, 'C': 83.09105634689331, 'Conf': 99.8896598815918, 'idence': 99.99860525131226, '8': 25.24484395980835, '3': 61.30576133728027, '%': 99.9979019165039, 'The': 28.39718461036682, 'rain': 41.239920258522034, 'forest': 67.89108514785767, 'is': 63.623714447021484, 'being': 38.57280910015106, 'destroyed': 42.24654734134674, 'at': 78.57446670532227, 'an': 54.60795760154724, 'alarm': 76.04367733001709, 'ing': 99.38831329345703, 'rate': 99.14546012878418, '.': 41.798508167266846, 'most': 7.655830681324005, 'effective': 18.88347864151001, 'way': 89.08124566078186, 'to': 94.52131390571594, 'combat': 24.88241344690323, 'this': 94.57367062568665}"
"an electric car contains a motor that runs onA. gas
B. hydrogen
C. ions
D. plutonium
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",C,"

Answer: C
Confidence: 83%

Answer: C
Confidence: 83%

What is the term for a car that runs on gasoline?
A. electric
B.",C,83,87,"{'': 71.80030345916748, 'An': 56.316304206848145, 'swer': 99.75751042366028, ':': 99.99982118606567, 'C': 87.43218183517456, 'Conf': 99.95026588439941, 'idence': 99.99793767929077, '8': 32.97855854034424, '3': 73.04151058197021, '%': 99.99603033065796, 'What': 17.11750477552414, 'is': 48.18997383117676, 'the': 77.70661115646362, 'term': 27.35402286052704, 'for': 97.33675122261047, 'a': 45.55866718292236, 'car': 22.73211032152176, 'that': 88.8174295425415, 'runs': 59.75382924079895, 'on': 62.21967935562134, 'gas': 44.17852163314819, 'oline': 90.4880702495575, '?': 78.72387170791626, 'A': 99.99722242355347, '.': 99.99992847442627, 'electric': 25.80428719520569, 'B': 99.99879598617554}"
"The middle of the day usually involves the bright star nearest to the earth to be straight overhead why?A. moons gravity
B. human planet rotation
C. global warming
D. moon rotation
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",B,"

Answer: B
Confidence: 83%

Answer: B
Confidence: 83%

Answer: B
Confidence: 83%

Answer: B
Conf",B,83,86,"{'': 99.99699592590332, 'An': 99.77235198020935, 'swer': 99.99983310699463, ':': 99.99873638153076, 'B': 85.84271669387817, 'Conf': 99.99431371688843, 'idence': 99.99583959579468, '8': 66.02571606636047, '3': 81.17057681083679, '%': 99.99748468399048}"
"The summer solstice in the northern hemisphere is four months beforeA. May
B. July
C. April
D. October
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",D,"

Answer: B
Confidence: 83%

Answer: B
Confidence: 83%

The summer solstice in the northern hemisphere is four months before October.
A.",B,83,55,"{'': 98.71470928192139, 'An': 70.98134756088257, 'swer': 99.39854741096497, ':': 99.99974966049194, 'B': 55.42577505111694, 'Conf': 99.97122883796692, 'idence': 99.99860525131226, '8': 33.53240191936493, '3': 72.10032939910889, '%': 99.99840259552002, 'The': 14.046484231948853, 'summer': 65.47797322273254, 'sol': 98.20168614387512, 'st': 99.9977707862854, 'ice': 99.97807145118713, 'in': 95.92381715774536, 'the': 99.99141693115234, 'northern': 94.49975490570068, 'hem': 99.9891996383667, 'is': 98.87521862983704, 'phere': 99.99868869781494, 'four': 95.50126791000366, 'months': 99.96417760848999, 'before': 82.21364617347717, 'October': 28.334173560142517, '.': 99.9998927116394, 'A': 99.90347623825073}"
"The main component in dirt isA. microorganisms
B. broken stones
C. pollution
D. bacteria
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",B,"

Answer: D
Confidence: 83%

Answer: D
Confidence: 83%

What is the main component in dirt?
A. microorganisms
B. broken stones
",D,83,85,"{'': 99.99533891677856, 'An': 59.10099744796753, 'swer': 96.7111587524414, ':': 99.99978542327881, 'D': 84.8207175731659, 'Conf': 99.96028542518616, 'idence': 99.99887943267822, '8': 28.396114706993103, '3': 67.55303144454956, '%': 99.99828338623047, 'What': 20.40696144104004, 'is': 66.97748899459839, 'the': 81.57158493995667, 'main': 36.39194965362549, 'component': 91.81538224220276, 'in': 71.21522426605225, 'dirt': 94.47053074836731, '?': 97.66709208488464, 'A': 99.98728036880493, '.': 100.0, 'micro': 82.39920139312744, 'organ': 99.70703125, 'isms': 99.74537491798401, 'B': 99.99924898147583, 'broken': 98.4062671661377, 'stones': 99.78939890861511}"
