"A person wants to start saving money so that they can afford a nice vacation at the end of the year. After looking over their budget and expenses, they decide the best way to save money is toA. make more phone calls
B. quit eating lunch out
C. buy less with monopoly money
D. have lunch with friends
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",B,"

Answer: B
Confidence: 95%
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.

Answer: B
Confidence: ",B,95,61,"{'': 99.9987244606018, 'Answer': 99.94475245475769, ':': 99.99768733978271, 'B': 61.04641556739807, 'Confidence': 99.99979734420776, '9': 13.833513855934143, '5': 10.281836986541748, '%': 99.99984502792358, 'Please': 60.54034233093262, 'answer': 99.9849796295166, 'the': 99.99630451202393, 'question': 88.66434097290039, 'to': 99.99392032623291, 'best': 99.98998641967773, 'of': 99.9995231628418, 'your': 99.9998688697815, 'ability': 99.99979734420776, 'with': 99.9860405921936, 'corresponding': 99.99837875366211, 'letter': 99.99573230743408, 'representing': 99.99934434890747, 'and': 99.99494552612305, 'provide': 100.0, 'confidence': 99.99994039535522, 'in': 99.99972581863403, 'that': 99.99908208847046, 'as': 99.99828338623047, 'a': 99.99468326568604, 'whole': 99.99997615814209, 'number': 99.99858140945435, 'percentage': 99.99909400939941, '.': 99.99009370803833}"
"There is most likely going to be fog around:A. a marsh
B. a tundra
C. the plains
D. a desert
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",A,"

Answer: A
Confidence: 80%
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.

Answer: A
Confidence: ",A,80,61,"{'': 99.99748468399048, 'Answer': 99.89861845970154, ':': 99.99685287475586, 'A': 60.598593950271606, 'Confidence': 99.99942779541016, '8': 14.21659141778946, '0': 10.093522071838379, '%': 99.99998807907104, 'Please': 66.29274487495422, 'answer': 99.99970197677612, 'the': 99.99366998672485, 'question': 98.66659045219421, 'to': 99.98745918273926, 'best': 99.99657869338989, 'of': 99.99953508377075, 'your': 99.9998927116394, 'ability': 99.99980926513672, 'with': 99.95514750480652, 'corresponding': 99.99908208847046, 'letter': 99.9964714050293, 'representing': 99.99879598617554, 'and': 99.99500513076782, 'provide': 100.0, 'confidence': 99.99997615814209, 'in': 99.99974966049194, 'that': 99.99889135360718, 'as': 99.99908208847046, 'a': 99.98732805252075, 'whole': 99.99997615814209, 'number': 99.99804496765137, 'percentage': 99.9982237815857, '.': 99.9903678894043}"
"Predators eatA. lions
B. humans
C. bunnies
D. grass
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",C,"

Answer: C
Confidence: 38%
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.

Answer: C
Confidence: ",C,38,52,"{'': 99.99939203262329, 'Answer': 99.93833303451538, ':': 99.99687671661377, 'C': 51.571816205978394, 'Confidence': 99.99953508377075, '3': 14.44728970527649, '8': 10.362149029970169, '%': 99.99997615814209, 'Please': 74.11423921585083, 'answer': 98.50425124168396, 'the': 99.99327659606934, 'question': 88.86550664901733, 'to': 99.98788833618164, 'best': 99.99128580093384, 'of': 99.99948740005493, 'your': 99.99972581863403, 'ability': 99.99995231628418, 'with': 99.95056390762329, 'corresponding': 99.99971389770508, 'letter': 99.99414682388306, 'representing': 99.99938011169434, 'and': 99.99237060546875, 'provide': 100.0, 'confidence': 99.9998927116394, 'in': 99.99972581863403, 'that': 99.99880790710449, 'as': 99.9984622001648, 'a': 99.99213218688965, 'whole': 99.99996423721313, 'number': 99.99946355819702, 'percentage': 99.99805688858032, '.': 99.98121857643127}"
"Oak tree seeds are planted and a sidewalk is paved right next to that spot, until eventually, the tree is tall and the roots must extend past the sidewalk, which meansA. roots may be split
B. roots may begin to die
C. parts may break the concrete
D. roots may fall apart
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",C,"

Answer: C
Confidence: 33%

Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.

Answer: C
Confidence: ",C,33,47,"{'': 99.99943971633911, 'Answer': 99.92198944091797, ':': 99.99747276306152, 'C': 46.61565721035004, 'Confidence': 99.99991655349731, '3': 10.156530141830444, '%': 99.9998927116394, 'Please': 72.89420962333679, 'answer': 99.99805688858032, 'the': 99.9792993068695, 'question': 98.24137687683105, 'to': 99.98644590377808, 'best': 99.98648166656494, 'of': 99.99949932098389, 'your': 99.9996542930603, 'ability': 99.99990463256836, 'with': 99.92927312850952, 'corresponding': 99.98852014541626, 'letter': 99.96155500411987, 'representing': 99.99932050704956, 'and': 99.99920129776001, 'provide': 99.99998807907104, 'confidence': 99.99983310699463, 'in': 99.99948740005493, 'that': 99.99830722808838, 'as': 99.99825954437256, 'a': 99.9915361404419, 'whole': 99.99899864196777, 'number': 99.99810457229614, 'percentage': 99.99793767929077, '.': 99.9828577041626}"
"An electric car runs on electricity viaA. gasoline
B. a power station
C. electrical conductors
D. fuel
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",C,"

Answer: C
Confidence: 33%
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.

Answer: C
Confidence: ",C,33,69,"{'': 99.99961853027344, 'Answer': 99.93270635604858, ':': 99.99769926071167, 'C': 69.35685276985168, 'Confidence': 99.99939203262329, '3': 10.155578702688217, '%': 99.99991655349731, 'Please': 68.23433637619019, 'answer': 99.99998807907104, 'the': 99.99628067016602, 'question': 91.55460000038147, 'to': 99.99138116836548, 'best': 99.99942779541016, 'of': 99.9996542930603, 'your': 99.9998688697815, 'ability': 99.99998807907104, 'with': 99.97506737709045, 'corresponding': 99.9998688697815, 'letter': 99.99798536300659, 'representing': 99.99924898147583, 'and': 99.996817111969, 'provide': 100.0, 'confidence': 99.99990463256836, 'in': 99.99978542327881, 'that': 99.99909400939941, 'as': 99.99899864196777, 'a': 99.99061822891235, 'whole': 99.99997615814209, 'number': 99.99936819076538, 'percentage': 99.99731779098511, '.': 99.9901533126831}"
"As the rain forest is deforested the atmosphere will increase withA. oxygen
B. nitrogen
C. carbon
D. rain
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",C,"

Answer: C
Confidence: 35%

Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.

Answer: C
Confidence: ",C,35,83,"{'': 99.99969005584717, 'Answer': 99.97629523277283, ':': 99.99830722808838, 'C': 83.09947848320007, 'Confidence': 99.99994039535522, '3': 14.082956314086914, '5': 10.234949737787247, '%': 99.99995231628418, 'Please': 95.92557549476624, 'answer': 99.99997615814209, 'the': 99.99051094055176, 'question': 99.63066577911377, 'to': 99.98912811279297, 'best': 99.99580383300781, 'of': 99.99942779541016, 'your': 99.99983310699463, 'ability': 99.99994039535522, 'with': 99.93686079978943, 'corresponding': 99.97108578681946, 'letter': 99.99444484710693, 'representing': 99.99920129776001, 'and': 99.99723434448242, 'provide': 100.0, 'confidence': 99.99994039535522, 'in': 99.99961853027344, 'that': 99.99865293502808, 'as': 99.9984622001648, 'a': 99.99392032623291, 'whole': 99.99926090240479, 'number': 99.99607801437378, 'percentage': 99.99786615371704, '.': 99.9868631362915}"
"an electric car contains a motor that runs onA. gas
B. hydrogen
C. ions
D. plutonium
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",C,"

Answer: C
Confidence: 35%
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.

Answer: C
Confidence: ",C,35,60,"{'': 99.99957084655762, 'Answer': 99.8515784740448, ':': 99.99673366546631, 'C': 60.336869955062866, 'Confidence': 99.99914169311523, '3': 13.794785737991333, '5': 10.219373553991318, '%': 99.99994039535522, 'Please': 78.90605926513672, 'answer': 99.99998807907104, 'the': 99.99638795852661, 'question': 72.71883487701416, 'to': 99.99303817749023, 'best': 99.99911785125732, 'of': 99.99945163726807, 'your': 99.99974966049194, 'ability': 99.99997615814209, 'with': 99.94528889656067, 'corresponding': 99.99955892562866, 'letter': 99.9981164932251, 'representing': 99.99933242797852, 'and': 99.9940037727356, 'provide': 100.0, 'confidence': 99.99992847442627, 'in': 99.99980926513672, 'that': 99.99911785125732, 'as': 99.99885559082031, 'a': 99.99347925186157, 'whole': 99.99997615814209, 'number': 99.99622106552124, 'percentage': 99.99669790267944, '.': 99.99287128448486}"
"The middle of the day usually involves the bright star nearest to the earth to be straight overhead why?A. moons gravity
B. human planet rotation
C. global warming
D. moon rotation
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",B,"

Answer: B
Confidence: 35%

Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.

Answer: B
Confidence: ",B,35,67,"{'': 99.99964237213135, 'Answer': 99.89659786224365, ':': 99.99721050262451, 'B': 66.73756837844849, 'Confidence': 99.9998688697815, '3': 13.72569054365158, '5': 10.20386889576912, '%': 99.99995231628418, 'Please': 77.98852324485779, 'answer': 99.99992847442627, 'the': 99.98846054077148, 'question': 83.86781215667725, 'to': 99.99109506607056, 'best': 99.98482465744019, 'of': 99.99912977218628, 'your': 99.99959468841553, 'ability': 99.99991655349731, 'with': 99.8986303806305, 'corresponding': 99.996817111969, 'letter': 99.98843669891357, 'representing': 99.99943971633911, 'and': 99.99754428863525, 'provide': 100.0, 'confidence': 99.99992847442627, 'in': 99.99957084655762, 'that': 99.99842643737793, 'as': 99.99880790710449, 'a': 99.99547004699707, 'whole': 99.99996423721313, 'number': 99.99549388885498, 'percentage': 99.99748468399048, '.': 99.97976422309875}"
"The summer solstice in the northern hemisphere is four months beforeA. May
B. July
C. April
D. October
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",D,"

Answer: D
Confidence: 33%

Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.

Answer: D
Confidence: ",D,33,54,"{'': 99.99969005584717, 'Answer': 99.73987340927124, ':': 99.99713897705078, 'D': 54.4305145740509, 'Confidence': 99.9998927116394, '3': 10.140534490346909, '%': 99.99985694885254, 'Please': 41.97235405445099, 'answer': 99.99985694885254, 'the': 99.91493225097656, 'question': 52.34394073486328, 'to': 99.95875954627991, 'best': 99.96486902236938, 'of': 99.99887943267822, 'your': 99.99933242797852, 'ability': 99.99972581863403, 'with': 99.49535727500916, 'corresponding': 99.80498552322388, 'letter': 99.8759388923645, 'representing': 99.99935626983643, 'and': 99.99581575393677, 'provide': 99.99998807907104, 'confidence': 99.99992847442627, 'in': 99.99934434890747, 'that': 99.99817609786987, 'as': 99.99802112579346, 'a': 99.99206066131592, 'whole': 99.99998807907104, 'number': 99.99667406082153, 'percentage': 99.99207258224487, '.': 99.9680757522583}"
"The main component in dirt isA. microorganisms
B. broken stones
C. pollution
D. bacteria
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.",B,"

Answer: B
Confidence: 35%
Please answer the question to the best of your ability with the corresponding letter representing your answer and provide your confidence in that answer as a whole number percentage.

Answer: B
Confidence: ",B,35,59,"{'': 99.99963045120239, 'Answer': 99.94909763336182, ':': 99.99743700027466, 'B': 58.57824087142944, 'Confidence': 99.99959468841553, '3': 13.914085924625397, '5': 10.234884917736053, '%': 99.99996423721313, 'Please': 88.37406039237976, 'answer': 100.0, 'the': 99.99425411224365, 'question': 96.48390412330627, 'to': 99.99051094055176, 'best': 99.99057054519653, 'of': 99.99949932098389, 'your': 99.99970197677612, 'ability': 99.99980926513672, 'with': 99.93277788162231, 'corresponding': 99.9995231628418, 'letter': 99.99521970748901, 'representing': 99.99880790710449, 'and': 99.99183416366577, 'provide': 99.99998807907104, 'confidence': 99.99992847442627, 'in': 99.9995231628418, 'that': 99.99854564666748, 'as': 99.99818801879883, 'a': 99.98257756233215, 'whole': 99.9998927116394, 'number': 99.99823570251465, 'percentage': 99.99861717224121, '.': 99.97807145118713}"
